Date,Open,High,Low,Close,Adj Close,Volume,,Variation %,SD,,Year,Return,Risk,,Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2011-08-01,58.823.000.000,59.542.000.000,47.793.000.000,56.495.000.000,56.495.000.000,72287600,,"-0,03957635619",,,,,,,,,,,,,,,
2011-09-01,56.498.000.000,58.589.000.000,51.897.000.000,52.324.000.000,52.324.000.000,54664800,,"-0,07382954244",,,,,,,,,,,,,,,
2011-10-01,52.319.000.000,59.901.000.000,49.433.000.000,58.338.000.000,58.338.000.000,53851800,,"0,1149376959",,,,,,,,,,,,,,,
2011-11-01,58.300.000.000,59.616.000.000,54.537.000.000,56.875.000.000,56.875.000.000,48805400,,"-0,02507799376",,,,,,,,,,,,,,,
2011-12-01,56.876.000.000,59.576.000.000,55.298.000.000,56.754.000.000,56.754.000.000,50819200,,"-0,002127472527",,,,,,,,,,,,,,,
2012-01-01,57.836.000.000,63.805.000.000,57.836.000.000,63.072.000.000,63.072.000.000,52505600,,"0,11132255",,,,,,,,,,,,,,,
2012-02-01,63.085.000.000,66.662.000.000,63.085.000.000,65.812.000.000,65.812.000.000,52916000,,"0,04344241502",,,,,,,,,,,,,,,
2012-03-01,65.812.000.000,68.970.000.000,64.096.000.000,64.511.000.000,64.511.000.000,55588800,,"-0,01976843129",,,,,,,,,,,,,,,
2012-04-01,64.515.000.000,65.593.000.000,60.897.000.000,61.820.000.000,61.820.000.000,54261600,,"-0,04171381625",,,,,,,,,,,,,,,
2012-05-01,61.820.000.000,62.783.000.000,53.028.000.000,54.490.000.000,54.490.000.000,77092600,,"-0,1185700421",,,,,,,,,,,,,,,
2012-06-01,54.488.000.000,57.611.000.000,52.271.000.000,54.355.000.000,54.355.000.000,62934200,,"-0,002477518811",,,,,,,,,,,,,,,
2012-07-01,54.355.000.000,57.466.000.000,52.213.000.000,56.097.000.000,56.097.000.000,59275600,,"0,03204856959",,,,,,,,,,,,,,,
